bet_slip_number,date_time,bet_name,coefficient,is_express,status,bet_selection,stake,event_time
73075449917,22.11.2025 | 00:39,Football. Germany. Bundesliga 1. FSV Mainz 05 - TSG 1899 Hoffenheim 1st half,2.1,No,loss,Individual Total 2 Over (1.5) (loss),0.3 ,22.11.2025 | 00:15
73073931533,22.11.2025 | 00:07,Football. Germany. 2. Bundesliga Corners Hertha BSC - Corners Eintracht Braunschweig,1.86,No,loss,Individual Total 1 Over (6.5) (loss),0.3 ,21.11.2025 | 22:30
73073887921,22.11.2025 | 00:06,Football. Germany. 2. Bundesliga Hertha BSC - Eintracht Braunschweig,3.13,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,21.11.2025 | 22:30
73073844121,22.11.2025 | 00:05,Football. Germany. 2. Bundesliga Corners Hertha BSC - Corners Eintracht Braunschweig,1.74,No,loss,Individual Total 1 Over (6.5) (loss),0.3 ,21.11.2025 | 22:30
73073749411,22.11.2025 | 00:03,Football. Germany. 2. Bundesliga Corners Hertha BSC - Corners Eintracht Braunschweig,1.63,No,loss,Individual Total 1 Over (6.5) (loss),0.3 ,21.11.2025 | 22:30
73073127571,21.11.2025 | 23:50,Football. England. Championship Preston North End - Blackburn Rovers,1.86,No,win,Both Teams To Score - Yes (win),0.3 ,22.11.2025 | 01:00
73073092403,21.11.2025 | 23:49,Football. Germany. 2. Bundesliga Hertha BSC - Eintracht Braunschweig,2.06,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,21.11.2025 | 22:30
73072998189,21.11.2025 | 23:47,Football. Germany. 2. Bundesliga Hertha BSC - Eintracht Braunschweig,4.23,No,loss,Individual Total 1 Over (2) (loss),0.3 ,21.11.2025 | 22:30
73072992819,21.11.2025 | 23:47,Football. Germany. 2. Bundesliga Hertha BSC - Eintracht Braunschweig,1.97,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,21.11.2025 | 22:30
73072824189,21.11.2025 | 23:43,Football. France. Ligue 1 Nice - Olympique de Marseille,1.76,No,win,Total Over (2.5) (win),0.3 ,22.11.2025 | 00:45
73072782429,21.11.2025 | 23:42,Football. France. Ligue 1 Nice - Olympique de Marseille,2.05,No,win,W2 (win),0.3 ,22.11.2025 | 00:45
73072737065,21.11.2025 | 23:41,Football. Germany. Bundesliga 1. FSV Mainz 05 - TSG 1899 Hoffenheim,1.53,No,win,2X (win),0.3 ,22.11.2025 | 00:30
73072728983,21.11.2025 | 23:41,Football. Germany. Bundesliga 1. FSV Mainz 05 - TSG 1899 Hoffenheim,1,No,win,Individual Total 2 Over (1) (100% refund),0.3 ,22.11.2025 | 00:30
73072533375,21.11.2025 | 23:36,Football. Germany. 2. Bundesliga Hertha BSC - Eintracht Braunschweig,1.66,No,win,Individual Total 1 Over (0.5) (win),0.3 ,21.11.2025 | 22:30
73072525895,21.11.2025 | 23:36,Football. Germany. 2. Bundesliga Hertha BSC - Eintracht Braunschweig,1,No,win,Individual Total 1 Over (1) (100% refund),0.3 ,21.11.2025 | 22:30
73071223687,21.11.2025 | 23:07,Football. Germany. 2. Bundesliga VfL Bochum - Dynamo Dresden,1,No,win,Individual Total 1 Over (1) (100% refund),0.3 ,21.11.2025 | 22:30
73044033227,21.11.2025 | 05:52,Football. Denmark. Superliga Silkeborg - AGF Aarhus,1.51,No,loss,Both Teams To Score - Yes (loss),0.3 ,21.11.2025 | 23:00
73044025505,21.11.2025 | 05:51,Football. Brazil. Campeonato Brasileiro. Serie A Ceara - Sport Club Internacional,1.89,No,loss,Individual Total 1 Under (0.5) (loss),0.3 ,21.11.2025 | 05:30
73043888393,21.11.2025 | 05:42,Football. Brazil. Campeonato Brasileiro. Serie A Ceara - Sport Club Internacional,1.95,No,loss,Individual Total 1 Under (0.5) (loss),0.3 ,21.11.2025 | 05:30
73043876549,21.11.2025 | 05:41,Football. Brazil. Campeonato Brasileiro. Serie A Ceara - Sport Club Internacional,1.62,No,loss,Both Teams To Score - No (loss),0.3 ,21.11.2025 | 05:30
73038676131,21.11.2025 | 01:49,Football. Brazil. Campeonato Brasileiro. Serie A Corinthians Paulista - Sao Paulo,2.28,No,win,Both Teams To Score - Yes (win),0.3 ,21.11.2025 | 03:30
73038636361,21.11.2025 | 01:47,Football. Brazil. Campeonato Brasileiro. Serie A Bahia - Fortaleza EC,1.78,No,win,Both Teams To Score - Yes (win),0.3 ,21.11.2025 | 02:00
72975336433,19.11.2025 | 03:14,Football. Brazil. Campeonato Brasileiro. Serie A Botafogo de Futebol e Regatas - Sport Club do Recife,1.71,No,loss,Both Teams To Score - No (loss),0.3 ,19.11.2025 | 04:30
72973728897,19.11.2025 | 02:25,Football. World Cup 2026 Qualification. Europe Yellow Cards Scotland - Yellow Cards Denmark,1.49,No,win,Individual Total 1 Over (0.5) (win),0.3 ,19.11.2025 | 00:45
72973589465,19.11.2025 | 02:21,Football. World Cup 2026 Qualification. Europe Yellow Cards Scotland - Yellow Cards Denmark,1.7,No,loss,Individual Total 2 Over (2.5) (loss),0.3 ,19.11.2025 | 00:45
72973556297,19.11.2025 | 02:21,Football. World Cup 2026 Qualification. Europe Corners Scotland - Corners Denmark,1.8,No,loss,Individual Total 2 Over (9.5) (loss),0.3 ,19.11.2025 | 00:45
72973403929,19.11.2025 | 02:17,Football. World Cup 2026 Qualification. Europe Yellow Cards Austria - Yellow Cards Bosnia and Herzegovina,2.85,No,loss,Individual Total 2 Over (2.5) (loss),0.3 ,19.11.2025 | 00:45
72972622813,19.11.2025 | 01:57,Football. World Cup 2026 Qualification. Europe Austria - Bosnia and Herzegovina,1,No,win,Individual Total 1 Over (1) (100% refund),0.3 ,19.11.2025 | 00:45
